Centro,Nombre científico (especie),Código del arbol,Area basal de arbol (dm²),Diametro de tronco equivalente (cm),Altura de arbol normalizada (m),Altura de copa normalizada (m),Diametro de copa promedio (m),Excentricidad de copa
CUNORTE,Prosopis laevigata,C15-6-1038,54.11,83,3,2.4,10.9,0.23
CUNORTE,Prosopis laevigata,C15-6-1039,4.23,23.2,4.4,3.3,5.6,0.55
CUNORTE,Acacia schaffneri,C15-6-1040,1.39,13.3,5.6,4.5,4,0.76
CUNORTE,Prosopis laevigata,C15-6-1041,0.87,10.5,5.7,2.2,3.9,0.22
CUNORTE,Prosopis laevigata,C15-6-1042,2.15,16.5,4.4,3.3,6.2,0.59
CUNORTE,Prosopis laevigata,C15-6-1043,0.53,8.2,3.7,2.5,3.1,0.25
CUNORTE,Prosopis laevigata,C15-6-1044,0.75,9.8,4.4,3.2,3.9,0.31
CUNORTE,Prosopis laevigata,C15-6-1045,0.3,6.2,3.8,2.4,2.8,0.44
CUNORTE,Prosopis laevigata,C15-6-1046,0.3,6.2,4,3.4,2.7,0.27
CUNORTE,Prosopis laevigata,C15-6-1047,1.3,12.9,6.2,3.6,4.3,0.3
CUNORTE,Prosopis laevigata,C15-6-1048,7,29.8,4.7,3.8,8.4,0.78
CUNORTE,Prosopis laevigata,C15-6-1049,2.05,16.2,5.1,4.4,3.4,0.33
CUNORTE,Prosopis laevigata,C15-6-1050,2.8,18.9,6.2,4.1,5.4,0.84
CUNORTE,Prosopis laevigata,C15-6-1051,1.94,15.7,4.8,2.7,3.1,0.35
CUNORTE,Prosopis laevigata,C15-6-1052,2.6,18.2,3.6,3,5.7,0.57
CUNORTE,Prosopis laevigata,C15-6-1053,25.41,56.9,6.8,5.3,11.3,0.32
CUNORTE,Prosopis laevigata,C15-6-1054,3.09,19.8,5,3.4,4.5,0.52
CUNORTE,Ipomoea murucoides,C15-6-1055,0.58,8.6,2.5,1.7,3.8,0.52
CUNORTE,Ipomoea murucoides,C15-6-1056,26.42,58,3,2,10.1,0.75
CUNORTE,Ipomoea murucoides,C15-6-1057,0.36,6.8,2.5,1.6,2.6,0.27
CUNORTE,Prosopis laevigata,C15-6-1058,2.83,19,4.1,2.7,5.6,0.41
CUNORTE,Prosopis laevigata,C15-6-1059,2.6,18.2,6.5,3.9,4.7,0.44
CUNORTE,Ipomoea murucoides,C15-6-1060,2.31,17.1,3.5,1.8,3.6,0.23
CUNORTE,Prosopis laevigata,C15-6-1061,1.25,12.6,3.6,3.7,4.1,0.54
CUNORTE,Prosopis laevigata,C15-6-1062,5.8,27.2,2.6,1.5,8.7,0.33
CUNORTE,Prosopis laevigata,C15-6-1063,0.31,6.3,3.1,2,2.4,0.47
CUNORTE,Prosopis laevigata,C15-6-1064,1.4,13.4,3,2.5,4.2,0
CUNORTE,Prosopis laevigata,C15-6-1065,1.36,13.1,4.3,3,4.6,0.59
CUNORTE,Prosopis laevigata,C15-6-1066,1.4,13.4,2.7,1.9,3.9,0
CUNORTE,Prosopis laevigata,C15-6-1067,2.67,18.4,5,3.9,5.7,0.4
CUNORTE,Prosopis laevigata,C15-6-1068,2.01,16,4.2,3.2,4,0.61
CUNORTE,Prosopis laevigata,C15-6-1069,3.09,19.8,5.8,4.6,5.3,0.27
CUNORTE,Prosopis laevigata,C15-6-1070,29.22,61,6.3,3.7,7.4,0.64
CUNORTE,Prosopis laevigata,C15-6-1071,21.24,52,7.8,5.9,8.9,0.52
CUNORTE,Buddleja parviflora,C15-6-1072,0.71,9.5,3.6,2.3,4.4,0.55
CUNORTE,Prosopis laevigata,C15-6-1073,2.45,17.6,6.2,4.8,5,0.52
CUNORTE,Prosopis laevigata,C15-6-1074,3.2,20.2,4.9,2.8,6.4,0.56
CUNORTE,Prosopis laevigata,C15-6-1075,1.92,15.7,5.7,2.6,6.5,0.7
CUNORTE,Prosopis laevigata,C15-6-1076,2.67,18.4,4.6,3.2,6.7,0.65
CUNORTE,Prosopis laevigata,C15-6-1077,2.37,17.4,3.7,2.4,2.8,0.26
CUNORTE,Buddleja parviflora,C15-6-1078,1.11,11.9,3.6,2.7,4,0.43
CUNORTE,Buddleja parviflora,C15-6-1079,0.9,10.7,4.1,3.3,3.8,0.67
CUNORTE,Prosopis laevigata,C15-6-1080,3.14,20,6.6,3.9,5.6,0.26
CUNORTE,Buddleja parviflora,C15-6-1081,0.48,7.8,5.1,2.8,4.3,0.83
CUNORTE,Prosopis laevigata,C15-6-1082,2.93,19.3,3.6,2.7,4.2,0.56
CUNORTE,Prosopis laevigata,C15-6-1083,1.53,13.9,6.5,4.4,4.7,0.35
CUNORTE,Ipomoea murucoides,C15-6-1084,7.21,30.3,4.2,3.2,4.2,0.78
CUNORTE,Prosopis laevigata,C15-6-1085,3.41,20.8,4.1,3.2,6,0.18
CUNORTE,Bursera fagaroides,C15-6-1086,1.5,13.8,2.6,1.9,3.4,0.71
CUNORTE,Prosopis laevigata,C15-6-1087,5.6,26.7,3.9,3.8,7,0.66
CUNORTE,Prosopis laevigata,C15-6-1088,1.86,15.4,3.8,2.8,4.4,0.49
CUNORTE,Prosopis laevigata,C15-6-1089,3.45,21,4.7,4.5,6.9,0.37
CUNORTE,Prosopis laevigata,C15-6-1090,4.02,22.6,4.9,2.9,3.4,0.41
CUNORTE,Prosopis laevigata,C15-6-1091,0.75,9.8,3.8,2.9,3.9,0.38
CUNORTE,Acacia schaffneri,C15-6-1092,2.91,19.3,3.3,2.4,6.1,0.42
CUNORTE,Prosopis laevigata,C15-6-1093,2.13,16.5,4.7,4.1,4.8,0.53
CUNORTE,Prosopis laevigata,C15-6-1094,0.95,11,5.5,4.3,4,0.8
CUNORTE,Prosopis laevigata,C15-6-1095,8.04,32,7.1,5.3,6.2,0.48
CUNORTE,Acacia schaffneri,C15-6-1096,0.5,8,4.3,2.8,4,0.22
CUNORTE,Acacia schaffneri,C15-6-1097,1.4,13.3,4.6,1.8,5,0.57
CUNORTE,Prosopis laevigata,C15-6-1098,1.32,12.9,3.1,1.9,3.4,0.51
CUNORTE,Acacia schaffneri,C15-6-1099,0.58,8.6,3.7,1.9,3.1,0.42
CUNORTE,Prosopis laevigata,C15-6-1100,0.99,11.2,5.5,3.3,3.1,0.53
CUNORTE,Prosopis laevigata,C15-6-1101,2.35,17.3,4.1,2.7,5.6,0.72
CUNORTE,Acacia schaffneri,C15-6-1102,2.52,17.9,7,4.3,4.3,0.69
CUNORTE,Prosopis laevigata,C15-6-1103,0.97,11.1,3.8,1.8,3.4,0.59
CUNORTE,Prosopis laevigata,C15-6-1104,2.9,19.2,4.2,2.4,5.7,0.61
CUNORTE,Buddleja parviflora,C15-6-1105,0.97,11.1,4.1,1.8,4.8,0.53
CUNORTE,Prosopis laevigata,C15-6-1106,7.16,30.2,6.8,5.1,7,0.76
CUNORTE,Buddleja parviflora,C15-6-1107,1.23,12.5,2.9,1.3,3.7,0.63
CUNORTE,Ipomoea murucoides,C15-6-1108,4.76,24.6,5.9,4.3,4.5,0.55
CUNORTE,Ipomoea murucoides,C15-6-1109,7.21,30.3,8.1,5.9,5.6,0.36
CUVALLES,Cupressus sempervirens,C14-5-1,0.64,9,5.4,5.1,0.8,0
CUVALLES,Cupressus sempervirens,C14-5-2,0.36,6.8,4.2,3.9,0.8,0.48
CUVALLES,Salix humboldtiana,C14-5-3,0.27,5.9,3.9,3.6,3.2,0.47
CUVALLES,Salix humboldtiana,C14-5-4,1.66,14.5,6.3,5.1,5.6,0
CUVALLES,Psidium guajava,C14-5-5,8.65,33.2,7.2,5.7,7.3,0.32
CUVALLES,Ficus benjamina,C14-5-6,14.9,43.6,7.3,5.7,8.2,0.45
CUVALLES,Ficus benjamina,C14-5-7,12.88,40.5,6.9,5.5,8,0.45
CUVALLES,Ficus benjamina,C14-5-8,15.4,44.3,7.1,5.4,8.5,0.21
CUVALLES,Cupressus sempervirens,C14-5-9,0.52,8.1,4.5,4.2,0.8,0.48
CUVALLES,Cupressus sempervirens,C14-5-10,0.28,6,3.8,3.4,0.7,0.52
CUVALLES,Cupressus sempervirens,C14-5-11,0.64,9,5.3,5,0.9,0.46
CUVALLES,Salix humboldtiana,C14-5-12,0.37,6.9,3.5,2.7,3.6,0.23
CUVALLES,Salix humboldtiana,C14-5-13,0.28,6,3.5,2.5,3.3,0.41
CUVALLES,Salix humboldtiana,C14-5-14,0.99,11.2,5.1,3.7,4.3,0.41
CUVALLES,Salix humboldtiana,C14-5-15,0.64,9,4.1,2.4,4.1,0.37
CUVALLES,Salix bonplandiana,C14-5-16,0.79,10,4.3,2.8,4.1,0.3
CUVALLES,Salix humboldtiana,C14-5-17,0.44,7.5,3.5,2.7,4.6,0.66
CUVALLES,Salix humboldtiana,C14-5-18,0.23,5.4,3,2.1,3.3,0.68
CUVALLES,Salix bonplandiana,C14-5-19,0.53,8.2,3.5,2.1,2.3,0.48
CUVALLES,Salix bonplandiana,C14-5-20,0.85,10.4,3.7,2.5,2.3,0.29
CUVALLES,Salix bonplandiana,C14-5-21,0.33,6.5,3.8,2.6,2.2,0.49
CUVALLES,Salix bonplandiana,C14-5-22,1.13,12,7.1,5.4,4.2,0.64
CUVALLES,Jacaranda mimosifolia,C14-5-23,1.97,15.8,3.8,2.8,6.8,0
CUVALLES,Casuarina equisetifolia,C14-5-24,1.47,13.7,7.2,6.3,6.3,0.18
CUVALLES,Salix bonplandiana,C14-5-25,0.21,5.2,4,2.6,2.8,0.66
CUVALLES,Salix bonplandiana,C14-5-26,1.03,11.4,4.1,3,3.7,0.23
CUVALLES,Salix bonplandiana,C14-5-27,0.24,5.5,3.8,2.4,2.5,0.69
CUVALLES,Salix bonplandiana,C14-5-28,0.31,6.3,4.4,3,3.2,0.82
CUVALLES,Salix bonplandiana,C14-5-29,0.34,6.6,7.1,6,5.6,0.57
CUVALLES,Salix bonplandiana,C14-5-30,1.63,14.4,6.2,4.9,4.3,0.66
CUVALLES,Salix bonplandiana,C14-5-31,1.43,13.5,5.6,4.2,5.5,0
CUVALLES,Salix bonplandiana,C14-5-32,0.24,5.5,4.3,3.2,2.8,0.5
CUVALLES,Salix bonplandiana,C14-5-33,1.43,13.5,5,3.6,5.7,0.71
CUVALLES,Salix bonplandiana,C14-5-34,0.69,9.4,3.7,2.8,4.5,0.4
CUVALLES,Salix bonplandiana,C14-5-35,6.76,29.3,6.6,5.3,8,0.49
CUVALLES,Salix bonplandiana,C14-5-36,0.2,5,3.6,2.6,2.4,0.63
CUVALLES,Salix bonplandiana,C14-5-37,0.69,9.4,4.6,3.9,4.5,0.63
CUVALLES,Ficus maxima,C14-5-38,0.41,7.2,3.8,2.8,2.4,0.39
CUVALLES,Cupressus sempervirens,C14-5-39,0.33,6.5,4,3.7,0.9,0
CUVALLES,Ehretia tinifolia,C14-5-40,0.2,5,2.4,2,2.8,0.5
CUVALLES,Jacaranda mimosifolia,C14-5-41,5.23,25.8,5.5,4.5,6.8,0.43
CUVALLES,Jacaranda mimosifolia,C14-5-42,3.52,21.2,5,3.4,5.8,0.31
CUVALLES,Salix bonplandiana,C14-5-43,2.87,19.1,6.2,4.9,6.9,0.5
CUVALLES,Salix bonplandiana,C14-5-44,33.18,65,4.6,3.1,3.4,0.33
CUVALLES,Salix bonplandiana,C14-5-45,2.47,17.7,6.4,4.9,5.7,0.19
CUVALLES,Salix humboldtiana,C14-5-46,0.36,6.8,6.3,4.9,4.1,0.3
CUVALLES,Salix bonplandiana,C14-5-47,0.33,6.5,5.3,3.9,3.3,0.46
CUVALLES,Salix humboldtiana,C14-5-48,0.64,9,5.2,4,5,0.52
CUVALLES,Salix humboldtiana,C14-5-49,0.92,10.8,6.2,4.7,5,0.2
CUVALLES,Salix humboldtiana,C14-5-50,0.43,7.4,3.8,2.3,4.7,0.57
CUVALLES,Salix humboldtiana,C14-5-51,0.24,5.5,3.6,2.1,4.2,0.46
CUVALLES,Salix humboldtiana,C14-5-52,1.53,14,6.5,5.1,6.1,0.55
CUVALLES,Salix bonplandiana,C14-5-53,1.43,13.5,6.9,5.3,5.8,0.56
CUVALLES,Salix humboldtiana,C14-5-54,2.49,17.8,8.7,6.8,6.4,0.79
CUVALLES,Salix bonplandiana,C14-5-55,1.39,13.3,6.1,4.8,4.9,0.2
CUVALLES,Schefflera actinophylla,C14-5-56,3.08,19.8,6.2,5.4,4.1,0.3
CUVALLES,Schefflera actinophylla,C14-5-57,6.26,28.2,6.1,5.2,5.9,0.75
CUVALLES,Salix humboldtiana,C14-5-58,0.2,5,2.5,1.6,3.2,0
CUVALLES,Salix humboldtiana,C14-5-59,0.79,10,4.4,3.6,4.2,0.3
CUVALLES,Salix humboldtiana,C14-5-60,0.26,5.8,4.2,3.9,3.7,0.39
CUVALLES,Salix humboldtiana,C14-5-61,0.72,9.6,5.1,4.6,4.3,0.21
CUVALLES,Salix humboldtiana,C14-5-62,0.26,5.8,3.8,3.4,4,0.47
CUVALLES,Salix bonplandiana,C14-5-63,0.72,9.6,4.3,3,3.6,0.23
CUVALLES,Salix bonplandiana,C14-5-64,0.78,10,4.1,2.9,4.1,0.3
CUVALLES,Salix bonplandiana,C14-5-65,0.49,7.9,4,2.8,3.8,0.38
CUVALLES,Cupressus sempervirens,C14-5-66,0.93,10.9,7.5,7.5,1.3,0.38
CUVALLES,Cupressus sempervirens,C14-5-67,0.88,10.6,7.7,7.5,1.1,0.66
CUVALLES,Cupressus sempervirens,C14-5-68,1.09,11.8,2.4,2,1.3,0.38
CUVALLES,Pinus devoniana,C14-5-69,3.19,20.2,4.7,4,5.1,0.46
CUVALLES,Pinus douglasiana,C14-5-70,0.62,8.9,3.8,3.1,3.4,0.24
CUVALLES,Bucida buceras,C14-5-71,0.75,9.8,4.9,3.5,4.4,0.36
CUVALLES,Pithecellobium dulce,C14-5-72,1.03,11.5,6.6,4.7,6.3,0.25
CUVALLES,Salix humboldtiana,C14-5-73,1.23,12.5,5.4,4.6,6.3,0.38
CUVALLES,Ficus benjamina,C14-5-74,33.14,65,12.3,10.3,12.3,0.58
CUVALLES,Washingtonia robusta,C14-5-75,13.53,41.5,7.6,6.5,4.3,0
CUVALLES,Ficus benjamina,C14-5-76,22.38,53.4,10.9,8.8,10.6,0.45
CUVALLES,Callistemon viminalis,C14-5-77,3.18,20.1,5.7,4.2,5.6,0.65
CUVALLES,Bucida buceras,C14-5-78,1.53,14,5.7,4.4,6,0.48
CUVALLES,Salix humboldtiana,C14-5-79,0.2,5,5.1,3.7,3.6,0.39
CUVALLES,Salix humboldtiana,C14-5-80,20.84,51.5,13.6,12,14.1,0.29
CUVALLES,Salix humboldtiana,C14-5-81,0.79,10,5.7,4.6,4.9,0.43
CUVALLES,Salix bonplandiana,C14-5-82,2.62,18.3,6.6,5.9,6.2,0.62
CUVALLES,Salix humboldtiana,C14-5-83,0.95,11,4.8,3.4,4.9,0.43
CUVALLES,Salix humboldtiana,C14-5-84,1.26,12.6,6.6,5,5.3,0.42
CUVALLES,Salix humboldtiana,C14-5-85,1.89,15.5,4,3.2,3.7,0.49
CUVALLES,Salix humboldtiana,C14-5-86,0.59,8.7,4.7,4.2,4.8,0.67
CUVALLES,Salix humboldtiana,C14-5-87,0.79,10,6.4,5.7,5.1,0.7
CUVALLES,Salix humboldtiana,C14-5-88,0.61,8.8,5.4,4.5,4.8,0.47
CUVALLES,Salix bonplandiana,C14-5-89,0.26,5.7,3.7,2.9,3.4,0.61
CUVALLES,Salix humboldtiana,C14-5-90,1.39,13.3,3.7,2.3,5.1,0.64
CUVALLES,Salix humboldtiana,C14-5-91,2.87,19.1,8.4,7.3,5.9,0.26
CUVALLES,Salix humboldtiana,C14-5-92,1.91,15.6,7.2,6,7.2,0.55
CUVALLES,Salix humboldtiana,C14-5-93,0.93,10.9,5.4,3.7,4.6,0.78
CUVALLES,Salix bonplandiana,C14-5-94,0.42,7.3,3.7,2.4,3.7,0.57
CUVALLES,Salix humboldtiana,C14-5-95,0.99,11.2,6.1,4.5,5,0.83
CUVALLES,Salix humboldtiana,C14-5-96,0.65,9.1,4.8,3.2,4.4,0.58
CUVALLES,Salix humboldtiana,C14-5-97,0.72,9.6,7.5,6,4,0.43
CUVALLES,Salix humboldtiana,C14-5-98,2.42,17.6,7.5,5.8,6.4,0.3
CUVALLES,Salix bonplandiana,C14-5-99,1.11,11.9,7,5.2,4.7,0.4
CUVALLES,Salix bonplandiana,C14-5-100,1.54,14,8.8,7.1,5.1,0.27
CUVALLES,Salix bonplandiana,C14-5-101,1.33,13,8.4,6.7,6.1,0.61
CUVALLES,Salix humboldtiana,C14-5-102,1.56,14.1,9.6,7.7,6.2,0
CUVALLES,Salix humboldtiana,C14-5-103,2.42,17.6,8.6,6.8,7.3,0.51
CUVALLES,Salix humboldtiana,C14-5-104,1.99,15.9,6.2,4.6,6.8,0
CUVALLES,Salix humboldtiana,C14-5-105,1.09,11.8,5.3,3.6,5.3,0.48
CUVALLES,Salix humboldtiana,C14-5-106,2.3,17.1,6.4,4.8,5.8,0.65
CUVALLES,Ficus benjamina,C14-5-107,0.22,5.3,2.7,1.9,2.6,0.46
CUVALLES,Ficus benjamina,C14-5-108,6.45,28.7,5.7,4.2,5,0.43
CUVALLES,Ficus benjamina,C14-5-109,1.95,15.7,4,2.5,3.5,0.77
CUVALLES,Ficus benjamina,C14-5-110,5.65,26.8,7.1,5.6,6,0.25
CUVALLES,Ficus benjamina,C14-5-111,3.01,19.6,4.4,3,4.6,0.48
CUVALLES,Ficus benjamina,C14-5-112,2.91,19.2,4.1,2.4,4.3,0.46
CUVALLES,Ficus benjamina,C14-5-113,5.04,25.3,5.1,3.7,5.7,0.26
CUVALLES,Ficus benjamina,C14-5-114,9.95,35.6,7.5,6.2,7.1,0.23
CUVALLES,Ficus benjamina,C14-5-115,8.43,32.8,6.3,4.8,5.4,0.19
CUVALLES,Ficus benjamina,C14-5-116,2.86,19.1,4.1,3.2,3.3,0.41
CUVALLES,Ficus benjamina,C14-5-117,6.12,27.9,5.4,4,4.7,0.29
CUVALLES,Ficus benjamina,C14-5-118,11.05,37.5,6.1,4.9,6,0.18
CUVALLES,Bucida buceras,C14-5-119,0.38,7,4.3,3.5,3.9,0.58
CUVALLES,Salix humboldtiana,C14-5-120,0.37,6.9,3.7,2.8,4.1,0.47
CUVALLES,Salix humboldtiana,C14-5-121,0.21,5.2,3,1.9,3.5,0.33
CUVALLES,Salix bonplandiana,C14-5-122,0.8,10.1,3.6,2.6,4.7,0.59
CUVALLES,Salix bonplandiana,C14-5-123,2.32,17.2,5.8,4.8,6.3,0.63
CUVALLES,Salix bonplandiana,C14-5-124,0.2,5,3.7,2.7,4.3,0.49
CUVALLES,Salix bonplandiana,C14-5-125,0.88,10.6,4.6,3.2,4.9,0.62
CUVALLES,Arecastrum romanzoffianum,C14-5-126,4.79,24.7,8.2,7,6.5,0.41
CUVALLES,Arecastrum romanzoffianum,C14-5-127,5.6,26.7,5.9,5,6.4,0.5
CUVALLES,Salix bonplandiana,C14-5-128,1.03,11.4,3.4,3,4.9,0.5
CUVALLES,Cupressus sempervirens,C14-5-129,0.38,7,4.1,3.7,0.9,0
CUVALLES,Salix humboldtiana,C14-5-130,2.72,18.6,6.3,4.8,7.1,0.23
CUVALLES,Salix bonplandiana,C14-5-131,1.23,12.5,6,4.6,4.5,0.52
CUVALLES,Salix bonplandiana,C14-5-132,0.95,11,5.3,4.1,4.5,0.21
CUVALLES,Ficus elastica,C14-5-133,164.8,144.9,19.6,17.1,28.9,0.38
CUVALLES,Ficus benjamina,C14-5-134,6.56,28.9,5.8,4.1,4.5,0.21
CUVALLES,Ficus benjamina,C14-5-135,10.46,36.5,5,3.2,4.4,0.71
CUVALLES,Ficus benjamina,C14-5-136,17.12,46.7,5.2,3.6,6.1,0.55
CUVALLES,Ficus benjamina,C14-5-137,9.99,35.7,5,3.4,6,0.7
CUVALLES,Ficus benjamina,C14-5-138,7.1,30.1,4.5,3,4.4,0.36
CUVALLES,Ficus benjamina,C14-5-139,3.63,21.5,3.8,2.4,4.8,0.34
CUVALLES,Ficus benjamina,C14-5-140,4.81,24.7,4.2,3,4.3,0.36
CUVALLES,Ficus benjamina,C14-5-141,5.27,25.9,3.8,2.6,4.6,0.35
CUVALLES,Ficus benjamina,C14-5-142,3.23,20.3,5,3.9,3.6,0.39
CUVALLES,Ficus benjamina,C14-5-143,4.65,24.3,4.8,3.6,4,0.22
CUVALLES,Ficus benjamina,C14-5-144,3.02,19.6,4,2.9,3.5,0.58
CUVALLES,Ficus benjamina,C14-5-145,1.39,13.3,2.8,1.6,2.4,0.53
CUVALLES,Ficus benjamina,C14-5-146,4.61,24.2,5.8,4.6,3.5,0.45
CUVALLES,Ficus benjamina,C14-5-147,4.24,23.2,5,3.6,4.9,0
CUVALLES,Ficus benjamina,C14-5-148,4.11,22.9,5.9,4.7,3.8,0.59
CUVALLES,Ficus benjamina,C14-5-149,4.55,24.1,4.9,3.5,4,0.43
CUVALLES,Ficus benjamina,C14-5-150,5.49,26.4,5.1,3.7,5,0.34
CUVALLES,Ficus benjamina,C14-5-151,3.44,20.9,4.4,3,4,0.38
CUVALLES,Ficus benjamina,C14-5-152,3.22,20.3,4.3,2.9,3.7,0.39
CUVALLES,Ficus benjamina,C14-5-153,2.86,19.1,3.7,2.6,3.1,0.61
CUVALLES,Ficus benjamina,C14-5-154,2.79,18.8,3.8,2.5,3.5,0.33
CUVALLES,Ficus benjamina,C14-5-155,3.92,22.3,3.1,1.6,2.9,0.58
CUVALLES,Ficus benjamina,C14-5-156,2.98,19.5,3.6,2.2,3.6,0.23
CUVALLES,Ficus benjamina,C14-5-157,2.89,19.2,3.4,2.3,3.4,0
CUVALLES,Ficus benjamina,C14-5-158,1.57,14.1,2.8,1.7,2.7,0.51
CUVALLES,Ficus benjamina,C14-5-159,4.3,23.4,3.5,2.3,3.5,0.33
CUVALLES,Ficus benjamina,C14-5-160,3.5,21.1,3.4,2.3,3.5,0.4
CUVALLES,Ficus benjamina,C14-5-161,6.24,28.2,4.3,2.7,4.7,0.35
CUVALLES,Ficus benjamina,C14-5-162,9.03,33.9,3.8,2.5,4.7,0.21
CUVALLES,Salix humboldtiana,C14-5-163,0.66,9.2,5.2,4.5,4.8,0.39
CUVALLES,Salix bonplandiana,C14-5-164,0.79,10,4.4,3.2,3.6,0.5
CUVALLES,Salix humboldtiana,C14-5-165,2.26,17,6.6,6.1,6.4,0.45
CUVALLES,Salix humboldtiana,C14-5-166,0.48,7.8,3.7,2.6,4.7,0.57
CUVALLES,Pithecellobium dulce,C14-5-167,4.37,23.6,8.1,6.5,9.4,0.32
CUVALLES,Salix humboldtiana,C14-5-168,0.79,10,5,4.6,5.3,0.19
CUVALLES,Salix humboldtiana,C14-5-169,2.75,18.7,7.6,7.2,7.2,0.64
CUVALLES,Ficus benjamina,C14-5-170,12.28,39.5,7,5.4,11,0.43
CUVALLES,Ficus benjamina,C14-5-171,7.47,30.8,6.2,4.7,6.7,0.41
CUVALLES,Ficus benjamina,C14-5-172,13.21,41,7.6,5.7,9.2,0.44
CUVALLES,Ficus benjamina,C14-5-173,15.23,44,7.9,6.1,9.1,0
CUVALLES,Ficus benjamina,C14-5-174,4.36,23.6,5.8,3.9,5.3,0.54
CUVALLES,Ficus benjamina,C14-5-175,8.48,32.9,5.8,4.2,6.2,0.3
CUVALLES,Ficus benjamina,C14-5-176,7.81,31.5,6.4,4.7,7.8,0
CUVALLES,Ficus benjamina,C14-5-177,8.18,32.3,7.6,6.1,7,0.29
CUVALLES,Ficus benjamina,C14-5-178,12.63,40.1,6,4.7,6.9,0.5
CUVALLES,Ficus benjamina,C14-5-179,5.48,26.4,4.4,2.7,4.9,0.47
CUVALLES,Ficus benjamina,C14-5-180,4.1,22.8,4,2.6,4.3,0.21
CUVALLES,Ficus benjamina,C14-5-181,6.53,28.8,5.2,1.2,5.5,0.37
CUVALLES,Ficus benjamina,C14-5-182,6.61,29,5.5,3.6,6.6,0.59
CUVALLES,Ficus benjamina,C14-5-183,24.79,56.2,8.3,6.9,10.1,0.55
CUVALLES,Ficus benjamina,C14-5-184,15.48,44.4,7.7,6.2,7.9,0.72
CUVALLES,Ficus microcarpa,C14-5-185,0.26,5.8,2.8,1.9,3.3,0.41
CUVALLES,Washingtonia robusta,C14-5-186,18.93,49.1,5.4,2.6,2,0.67
CUVALLES,Fraxinus uhdei,C14-5-187,0.68,9.3,4.7,3.3,3.3,0.46
CUVALLES,Ficus benjamina,C14-5-188,10.55,36.7,4.8,3.3,6.8,0
CUVALLES,Ficus benjamina,C14-5-189,7.65,31.2,4,2.5,6.1,0.25
CUVALLES,Ficus benjamina,C14-5-190,10.87,37.2,3.5,1.8,5.9,0.52
CUVALLES,Ficus benjamina,C14-5-191,12.49,39.9,4.6,3.1,6.4,0.61
CUVALLES,Ficus benjamina,C14-5-192,10.53,36.6,4.2,2.7,6.4,0.45
CUVALLES,Arecastrum romanzoffianum,C14-5-193,5.47,26.4,5.8,4.7,11.2,0.92
CUVALLES,Arecastrum romanzoffianum,C14-5-194,4.56,24.1,5.1,3.7,5.5,0.26
CUVALLES,Arecastrum romanzoffianum,C14-5-195,5.6,26.7,5.4,3.9,6.8,0.43
CUVALLES,Salix bonplandiana,C14-5-196,0.2,5.1,2.8,2.3,3.2,0.52
CUVALLES,Salix bonplandiana,C14-5-197,0.27,5.9,4.1,3.1,3.1,0.25
CUVALLES,Salix bonplandiana,C14-5-198,0.45,7.6,4,3.1,3.8,0.62
CUVALLES,Salix bonplandiana,C14-5-199,1.58,14.2,7.6,6,5.4,0.54
CUVALLES,Salix humboldtiana,C14-5-200,1.61,14.3,6.8,5.6,6.6,0.38
CUVALLES,Salix humboldtiana,C14-5-201,0.32,6.4,4.2,3.2,3.6,0.63
CUVALLES,Guazuma ulmifolia,C14-5-202,0.36,6.8,3.5,2.1,4.1,0.42
CUVALLES,Jacaranda mimosifolia,C14-5-203,0.58,8.6,4.7,2.7,2.9,0
CUVALLES,Fraxinus uhdei,C14-5-204,0.31,6.3,4.5,3.5,1.9,0.53
CUVALLES,Salix humboldtiana,C14-5-205,0.77,9.9,5.7,5.1,4.8,0.2
CUVALLES,Salix bonplandiana,C14-5-206,0.77,9.9,4.5,3.4,3.5,0.4
CUVALLES,Ficus benjamina,C14-5-207,4.55,24.1,5.5,4.1,4.8,0.53
CUVALLES,Bucida buceras,C14-5-208,0.25,5.6,4,3,3.1,0.42
CUVALLES,Salix humboldtiana,C14-5-209,3.31,20.5,7.7,6.7,7.6,0.59
CUVALLES,Salix humboldtiana,C14-5-210,1.18,12.2,5.9,4.5,5,0.84
CUVALLES,Salix humboldtiana,C14-5-211,1.47,13.7,3.9,3.2,5.2,0.67
CUVALLES,Salix humboldtiana,C14-5-212,0.24,5.5,4,2.9,3.9,0.8
CUVALLES,Salix humboldtiana,C14-5-213,0.26,5.8,5.3,4.3,3.6,0.85
CUVALLES,Salix humboldtiana,C14-5-214,0.2,5,4.9,4.1,3.7,0.81
CUVALLES,Salix bonplandiana,C14-5-215,0.77,9.9,5.7,4.6,4.2,0
CUVALLES,Salix humboldtiana,C14-5-216,0.27,5.9,6,5,3.3,0.52
CUVALLES,Salix humboldtiana,C14-5-217,1.39,13.3,6.3,5.4,6.1,0.68
CUVALLES,Salix humboldtiana,C14-5-218,0.72,9.6,3.6,2.8,4.1,0.57
CUVALLES,Salix humboldtiana,C14-5-219,0.2,5.1,3.6,2.9,3.6,0.23
CUVALLES,Ficus benjamina,C14-5-220,9.18,34.2,4.7,3.3,5.9,0.63
CUVALLES,Ficus benjamina,C14-5-221,7.77,31.4,4.7,2.8,4.8,0.47
CUVALLES,Ficus benjamina,C14-5-222,3.08,19.8,5.7,4.2,4.1,0.5
CUVALLES,Ficus benjamina,C14-5-223,3.89,22.3,6.5,4.9,4.8,0.28
