Centro,Nombre científico (especie),Código del arbol,Area basal de arbol (dm²),Diametro de tronco equivalente (cm),Altura de arbol normalizada (m),Altura de copa normalizada (m),Diametro de copa promedio (m),Excentricidad de copa
CUNORTE,Buddleja parviflora,C15-6-825,2.04,16.1,4,1.9,4.3,0.71
CUNORTE,Acacia schaffneri,C15-6-826,1.12,11.9,4,2.6,6.9,0.43
CUNORTE,Buddleja parviflora,C15-6-827,0.45,7.6,5.5,3.5,1.4,0.73
CUNORTE,Bursera fagaroides,C15-6-828,0.86,10.5,3.6,2.1,2.2,0.88
CUNORTE,Buddleja parviflora,C15-6-829,1.34,13,4,3.3,5.1,0.33
CUNORTE,Buddleja parviflora,C15-6-830,1.55,14,2.5,1.3,3.9,0.63
CUNORTE,Buddleja parviflora,C15-6-831,2.16,16.6,3.4,1.9,3.3,0.41
CUNORTE,Acacia schaffneri,C15-6-832,0.72,9.6,4.4,3.4,4.2,0.46
CUNORTE,Acacia schaffneri,C15-6-833,0.69,9.4,4.4,3,4.1,0.57
CUNORTE,Acacia schaffneri,C15-6-834,0.41,7.2,4.2,3.1,3.2,0.56
CUNORTE,Acacia schaffneri,C15-6-835,0.28,6,3.3,1.7,3.4,0.55
CUNORTE,Buddleja parviflora,C15-6-836,1.87,15.4,3.5,2.9,5.4,0.56
CUNORTE,Prosopis laevigata,C15-6-837,2.04,16.1,5.7,4.5,5.3,0.51
CUNORTE,Acacia farnesiana,C15-6-838,0.3,6.2,2,0.8,2.6,0.46
CUNORTE,Buddleja parviflora,C15-6-839,0.84,10.3,3.7,2.6,2.7,0.56
CUNORTE,Prosopis laevigata,C15-6-840,1.12,12,4.5,2.9,3.2,0.47
CUNORTE,Buddleja parviflora,C15-6-841,0.41,7.2,3.3,2.2,2.9,0.36
CUNORTE,Buddleja parviflora,C15-6-842,0.2,5.1,3.4,2.4,2.5,0.81
CUNORTE,Prosopis laevigata,C15-6-843,4.56,24.1,3.2,2.3,7.4,0.51
CUNORTE,Buddleja parviflora,C15-6-844,1.17,12.2,2.1,1.2,3.3,0.88
CUNORTE,Buddleja parviflora,C15-6-845,1.08,11.7,2,1,3.2,0.71
CUNORTE,Buddleja parviflora,C15-6-846,0.3,6.2,3,0.7,1.9,0.53
CUNORTE,Buddleja parviflora,C15-6-847,1.03,11.4,4.6,3.6,3.9,0.43
CUNORTE,Eysenhardtia polystachya,C15-6-848,0.28,6,3.3,1.5,2.1,0.5
CUNORTE,Prosopis laevigata,C15-6-849,1.99,15.9,5.2,4.1,5.5,0.37
CUNORTE,Prosopis laevigata,C15-6-850,0.5,8,5.5,4,4.4,0.55
CUNORTE,Prosopis laevigata,C15-6-851,0.66,9.2,4.8,2.6,3.8,0.23
CUNORTE,Buddleja parviflora,C15-6-852,1.51,13.8,4,3.1,4.1,0.22
CUNORTE,Prosopis laevigata,C15-6-853,1.29,12.8,4.8,3,5.7,0.52
CUNORTE,Prosopis laevigata,C15-6-854,3.14,20,4.7,3.1,4.5,0
CUNORTE,Prosopis laevigata,C15-6-855,0.41,7.2,3,1,1.7,0.76
CUNORTE,Acacia schaffneri,C15-6-856,1.15,12.1,3.3,3,4,0.85
CUNORTE,Acacia schaffneri,C15-6-857,0.43,7.4,4.6,2.8,4.1,0.77
CUNORTE,Acacia schaffneri,C15-6-858,1.44,13.5,4.5,3.4,4.6,0.4
CUNORTE,Buddleja parviflora,C15-6-859,0.45,7.6,3.8,2.8,4.1,0.54
CUNORTE,Buddleja parviflora,C15-6-860,1.41,13.4,2.8,1.7,3.9,0.58
